charName,isBlops,isSmallG,raisedBy,raisedDate,Comment
Alex Solkrad,TRUE,TRUE,Aerer Vyvorant,10/02/2024,
Alice Shears,FALSE,TRUE,Aerer Vyvorant,10/02/2024,
Archibalt De Alore,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
Chunk Lorris,TRUE,TRUE,Aerer Vyvorant,10/02/2024,
coconut bob,FALSE,TRUE,Cyber Smith,12/02/2024,
Dr Med Quacksalber,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
Dumbie Makiri,TRUE,FALSE,Invidia Aquitaine,12/02/2024,
Eilistraee Septimus,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
falconman,FALSE,TRUE,Aerer Vyvorant,10/02/2024,
Good To Day,TRUE,TRUE,Gingex Devaant,14/02/2024,Dropper type unspecified
HongSamCandy,TRUE,TRUE,Gingex Devaant,14/02/2024,Dropper type unspecified
Hora Shig,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
Jadis Stokes,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
Jane Shartley,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
Jenny Kaufmann,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
K Mopizza,TRUE,TRUE,Aerer Vyvorant,10/02/2024,
Kodokiro Ichinumi,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
Lemon meme Tea,FALSE,TRUE,Aerer Vyvorant,10/02/2024,
LuckyGir1,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
Mary Cury,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
Mining Servant,TRUE,FALSE,Kleo Azu,12/02/2024,
Nalen Kashada,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
Peter Gillis,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
Porxter Makanen,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
sto0ie Onnlin,TRUE,FALSE,Cyber Smith,12/02/2024,
Tarik Cynato,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
Tobias Midumulf,FALSE,TRUE,Aerer Vyvorant,10/02/2024,
Tomas Castano Jimenez,TRUE,FALSE,Aerer Vyvorant,10/02/2024,
Voltaire De Majere,FALSE,TRUE,Aerer Vyvorant,10/02/2024,
Ielo Shin Rin,TRUE,FALSE,Izakbar,29/02/2024,
